Input 0 (h): sparse: 515-by-515, 180 nnz
 (200, 200) -> 0.2
 (201, 201) -> 10
 (202, 202) -> 0.2
 (203, 203) -> 10
 (204, 204) -> 0.2
 (205, 205) -> 10
 (206, 206) -> 0.2
 (207, 207) -> 10
 (208, 208) -> 0.2
 (209, 209) -> 10
 (210, 210) -> 0.2
 (211, 211) -> 10
 (212, 212) -> 0.2
 (213, 213) -> 10
 (214, 214) -> 0.2
 (215, 215) -> 10
 (216, 216) -> 0.2
 (217, 217) -> 10
 (218, 218) -> 0.2
 (219, 219) -> 10
 (220, 220) -> 0.2
 (221, 221) -> 10
 (222, 222) -> 0.2
 (223, 223) -> 10
 (224, 224) -> 0.2
 (225, 225) -> 10
 (226, 226) -> 0.2
 (227, 227) -> 10
 (228, 228) -> 0.2
 (229, 229) -> 10
 (230, 230) -> 0.2
 (231, 231) -> 10
 (232, 232) -> 0.2
 (233, 233) -> 10
 (234, 234) -> 0.2
 (235, 235) -> 10
 (236, 236) -> 0.2
 (237, 237) -> 10
 (238, 238) -> 0.2
 (239, 239) -> 10
 (240, 240) -> 0.2
 (241, 241) -> 10
 (242, 242) -> 0.2
 (243, 243) -> 10
 (244, 244) -> 0.2
 (245, 245) -> 10
 (246, 246) -> 0.2
 (247, 247) -> 10
 (248, 248) -> 0.2
 (249, 249) -> 10
 (250, 250) -> 0.2
 (251, 251) -> 10
 (252, 252) -> 0.2
 (253, 253) -> 10
 (254, 254) -> 0.2
 (255, 255) -> 10
 (256, 256) -> 0.2
 (257, 257) -> 10
 (258, 258) -> 0.2
 (259, 259) -> 10
 (260, 260) -> 0.2
 (261, 261) -> 10
 (262, 262) -> 0.2
 (263, 263) -> 10
 (264, 264) -> 0.2
 (265, 265) -> 10
 (266, 266) -> 0.2
 (267, 267) -> 10
 (268, 268) -> 0.2
 (269, 269) -> 10
 (270, 270) -> 0.2
 (271, 271) -> 10
 (272, 272) -> 0.2
 (273, 273) -> 10
 (274, 274) -> 0.2
 (275, 275) -> 10
 (276, 276) -> 0.2
 (277, 277) -> 10
 (278, 278) -> 0.2
 (279, 279) -> 10
 (280, 280) -> 0.2
 (281, 281) -> 10
 (282, 282) -> 0.2
 (283, 283) -> 10
 (284, 284) -> 0.2
 (285, 285) -> 10
 (286, 286) -> 0.2
 (287, 287) -> 10
 (288, 288) -> 0.2
 (289, 289) -> 10
 (290, 290) -> 2000
 (291, 291) -> 2000
 (292, 292) -> 2000
 (293, 293) -> 2000
 (294, 294) -> 2000
 (295, 295) -> 2000
 (296, 296) -> 2000
 (297, 297) -> 2000
 (298, 298) -> 2000
 (299, 299) -> 2000
 (310, 310) -> 2000
 (311, 311) -> 2000
 (312, 312) -> 2000
 (313, 313) -> 2000
 (314, 314) -> 2000
 (315, 315) -> 2000
 (316, 316) -> 2000
 (317, 317) -> 2000
 (318, 318) -> 2000
 (319, 319) -> 2000
 (330, 330) -> 2000
 (331, 331) -> 2000
 (332, 332) -> 2000
 (333, 333) -> 2000
 (334, 334) -> 2000
 (335, 335) -> 2000
 (336, 336) -> 2000
 (337, 337) -> 2000
 (338, 338) -> 2000
 (339, 339) -> 2000
 (350, 350) -> 2000
 (351, 351) -> 2000
 (352, 352) -> 2000
 (353, 353) -> 2000
 (354, 354) -> 2000
 (355, 355) -> 2000
 (356, 356) -> 2000
 (357, 357) -> 2000
 (358, 358) -> 2000
 (359, 359) -> 2000
 (370, 370) -> 2000
 (371, 371) -> 2000
 (372, 372) -> 2000
 (373, 373) -> 2000
 (374, 374) -> 2000
 (375, 375) -> 2000
 (376, 376) -> 2000
 (377, 377) -> 2000
 (378, 378) -> 2000
 (379, 379) -> 2000
 (390, 390) -> 2000
 (391, 391) -> 2000
 (392, 392) -> 2000
 (393, 393) -> 2000
 (394, 394) -> 2000
 (395, 395) -> 2000
 (396, 396) -> 2000
 (397, 397) -> 2000
 (398, 398) -> 2000
 (399, 399) -> 2000
 (410, 410) -> 2000
 (411, 411) -> 2000
 (412, 412) -> 2000
 (413, 413) -> 2000
 (414, 414) -> 2000
 (415, 415) -> 2000
 (416, 416) -> 2000
 (417, 417) -> 2000
 (418, 418) -> 2000
 (419, 419) -> 2000
 (430, 430) -> 2000
 (431, 431) -> 2000
 (432, 432) -> 2000
 (433, 433) -> 2000
 (434, 434) -> 2000
 (435, 435) -> 2000
 (436, 436) -> 2000
 (437, 437) -> 2000
 (438, 438) -> 2000
 (439, 439) -> 2000
 (450, 450) -> 2000
 (451, 451) -> 2000
 (452, 452) -> 2000
 (453, 453) -> 2000
 (454, 454) -> 2000
 (455, 455) -> 2000
 (456, 456) -> 2000
 (457, 457) -> 2000
 (458, 458) -> 2000
 (459, 459) -> 2000
